Year,Length,Title,Subject,Actor
1991,86,Blind Man's Bluff,Mystery,Urich
1961,140,La Dolce Vita,Drama,Mastroianni
1966,103,After the Fox,Comedy,Sellers
1985,96,Marbella,Action,Taylor
1992,97,Killer Image.,Mystery,Ironside
1987,94,Kandyland,Drama,Laulette
1987,94,Campus Man,Drama,Dye
1956,101,Jubal,Drama,Ford
1984,85,Broadway Danny Rose,Comedy,Allen
1992,108,Husbands & Wives,Comedy,Allen
1986,103,Hannah & Her Sisters,Comedy,Caine
1979,115,Hurricane,Action,Robards
1986,95,Between Two Women,Drama,Nouri
1936,70,Doughnuts & Society,Comedy,Nugent
1978,450,Holocaust,Drama,Bottoms
1990,103,Meridian,Science Fiction,Jamieson
1992,90,Diary of a Hitman,Drama,Whitaker
1988,95,Gor,Action,Reed
1987,95,Surrender,Comedy,Caine
1984,112,Places in the Heart,Drama,Harris
1991,106,Not Without My Daughter,Drama,Molina
1977,113,Heroes,Drama,Winkler
1981,116,Absence of Malice,Drama,Newman
1979,110,Norma Rae,Drama,Bridges
1989,118,Steel Magnolias,Drama,Skerritt
1977,121,Star Wars,Science Fiction,Hamill
1983,132,Return of the Jedi,Science Fiction,Hamill
1991,104,Hear My Song,Drama,Dunbar
1956,99,Slightly Scarlet,Action,Payne
1957,120,Gunfight at the OK Corral,Western,Lancaster
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,Dengel
1972,129,Roma,Drama,Gonzales
1971,114,Klute,Drama,Sutherland
1965,97,Cat Ballou,Comedy,Marvin
1940,130,Rebecca,Drama,Olivier
1944,96,Jane Eyre,Drama,Welles
1973,87,Stacey!,Action,Randall
1992,85,Naked Obsession,Mystery,Katt
1983,95,Valley Girl,Comedy,Cage
1988,98,Stealing Home,Drama,Harmon
1972,92,Napoleon & Samantha,Comedy,Douglas
1989,103,My Left Foot,Drama,Day-Lewis
1987,92,Back to the Beach,Comedy,Avalon
1931,74,Inspiration,Drama,Apfel
1930,92,Anna Christie,Drama,Bickford
1928,90,Woman of Affairs,Drama,Gilbert
1935,96,Anna Karenina,Drama,March
1936,110,Camille,Drama,Taylor
1931,91,Mata Hari,Drama,Novarro
1929,100,Wild Orchids,Drama,Stone
1932,112,Grand Hotel,Drama,Barrymore
1939,108,Ninotchka,Comedy,Douglas
1933,97,Queen Christina,Drama,Gilbert
1925,125,Joyless Street,Drama,Stuart
1932,71,As You Desire Me,Drama,Douglas
1930,76,Romance,Drama,Stone
1962,105,A Child Is Waiting,Drama,Lancaster
1982,116,Tootsie,Comedy,Hoffman
1989,86,Let It Ride,Comedy,Dreyfuss
1953,120,Julius Caesar,Drama,Brando
1979,120,Nineteen Forty-One,Comedy,Belushi
1975,124,Jaws,Action,Scheider
1987,93,Hot Pursuit,Drama,Cusack
1989,120,Triumph of the Spirit,Drama,Dafoe
1975,111,Brannigan,Drama,Wayne
1979,89,Buffet Froid,Comedy,Depardieu
1986,122,Salvador,Drama,Woods
1954,108,Long John Silver,Action,Newton
1988,100,Clara's Heart,Drama,Ontkean
1987,102,Burglar,Comedy,Goldthwait
1986,120,Comic Relief,Comedy,Crystal
1978,117,Bloodbrothers,Drama,Sorvino
1988,134,Rain Man,Drama,Hoffman
1966,95,Masculine Feminine,Drama,Leaud
1932,66,Number Seventeen,Crime,Lion
1986,120,Manhunter,Drama,Petersen
1988,115,Working Girl,Comedy,Ford
1992,133,Shining Through,Mystery,Douglas
1991,76,Slumber Party Massacre III,Horror,Christian
1988,99,Tokyo Pop,Comedy,Tadokoro
1991,136,Terminator 2,Action,Schwarzenegger
1986,105,King Kong Lives!,Action,Kerwin
1969,125,Those Daring Young Men in Their Jaunty,Comedy,Curtis
1991,186,At Play in the Fields of the Lord,Drama,Berenger
1992,99,Memoirs of an Invisible Man,Comedy,Chase
1984,93,Reckless,Drama,Quinn
1987,107,Roxanne,Comedy,Martin
1982,117,Blade Runner,Action,Ford
1987,126,Wall Street,Drama,Douglas
1992,111,Pope of Greenwich Village,Drama,Rourke
1989,89,After School,Drama,Bottoms
1938,298,Flaming Frontiers,Western,Brown
1936,89,Libeled Lady,Comedy,Powell
1976,99,Inserts,Drama,Dreyfuss
1983,93,Tender Mercies,Drama,Duvall
1987,96,Nights in White Satin,Drama,Gilman
1989,87,Videodrome,Horror,Woods
1991,96,Intimate Stranger,Mystery,Russo
1986,110,Highlander,Science Fiction,Lambert
1987,93,Bodycount,Action,White
1989,104,Tango & Cash,Action,Stallone
1970,94,There's a Girl in My Soup,Comedy,Sellers
1984,100,Swing Shift,Drama,Russell
1978,112,Foul Play,Comedy,Chase
1982,109,Best Friends,Comedy,Reynolds
1972,109,Butterflies Are Free,Drama,Albert
1987,112,Overboard,Comedy,Russell
1992,102,Housesitter,Comedy,Martin
1986,106,Wildcats,Comedy,Keach
1984,100,Protocol,Comedy,Sarandon
1980,102,Seems Like Old Times,Comedy,Chase
1980,110,Private Benjamin,Comedy,Assante
1991,115,Deceived,Mystery,Heard
1931,95,Arrowsmith,Drama,Colman
1972,78,Say Goodbye Maggie Cole,Drama,McGavin
1964,132,Circus World,Drama,Wayne
1952,98,Affair in Trinidad,Drama,Ford
1948,87,Lady from Shanghai,Mystery,Welles
1940,81,Lady in Question,Drama,Aherne
1946,110,Gilda,Drama,Ford
1990,105,Dick Tracy,Comedy,Beatty
1964,130,Marnie,Drama,Connery
1987,85,Hot Child in the City,Mystery,Prysirr
1984,90,Johnny Dangerously,Comedy,Piscopo
1985,95,Stark,Mystery,Surovy
1949,84,Three Strange Loves,Drama,Malmsten
1964,170,My Fair Lady,Music,Harrison
1976,106,Robin & Marian,Action,Connery
1952,95,Pat & Mike,Comedy,Tracy
1967,108,Guess Who's Coming to Dinner,Drama,Tracy
1957,153,Desk Set,Comedy,Tracy
1975,107,Rooster Cogburn,Western,Wayne
1981,109,On Golden Pond,Drama,Fonda
1991,101,Adam's Rib,Comedy,Tracy
1991,116,Boom Town,Drama,Tracy
1991,145,Dragon Seed,Drama,Tracy
1991,115,Little Women,Drama,Tracy
1991,112,Without Love,Comedy,Tracy
1991,113,Woman of the Year,Comedy,Tracy
1992,95,Juice,Drama,Shakur
1986,114,Hoosiers,Drama,Hackman
1987,112,Tin Men,Comedy,Dreyfuss
1991,99,Paris Trout,Drama,Hopper
1988,87,Souvenir,Drama,Plummer
1966,120,A Man for All Seasons,Drama,Shaw
1986,90,Knights & Emeralds,Drama,Leadbitter
1989,83,Masque of the Red Death,Horror,MacNee
1992,88,Adventures in Dinosaur City,Action,Katz
1980,99,Caddyshack,Comedy,Chase
1973,102,Tom Sawyer,Music,Whitaker
1947,56,Hawk of Powder River,Western,Dean
1928,148,Tempest,Drama,Barrymore
1986,90,Running Mates,Drama,Webb
1987,105,Prettykill,Drama,Birney
1934,80,Judge Priest,Drama,Rogers
1950,104,Harvey,Comedy,Stewart
1991,89,If Looks Could Kill,Action,Grieco
1987,94,Raising Arizona,Comedy,Cage
1989,114,Once Around,Comedy,Dreyfuss
1980,110,Loulou,Drama,Depardieu
1980,106,Virus,Science Fiction,Kennedy
1940,127,Northwest Passage,Action,Tracy
1987,112,Gardens of Stone,Drama,Caan
1932,65,Freaks,Horror,Ford
1991,108,Necessary Roughness,Comedy,Bakula
1990,93,A Show of Force,Drama,Garcia
1988,97,Crossing Delancey,Comedy,Riegert
